video_name,frame,object_id,iou
video_01_static_short,37,3,0.9602510460251046
video_01_static_short,37,1,0.9619377162629758
video_01_static_short,37,5,0.5161290322580645
video_01_static_short,37,2,0.9334239130434783
video_01_static_short,38,3,0.9575371549893843
video_01_static_short,38,1,0.9754768392370572
video_01_static_short,38,5,0.5
video_01_static_short,38,2,0.926829268292683
video_01_static_short,39,3,0.9446808510638298
video_01_static_short,39,1,0.9605263157894737
video_01_static_short,39,5,0.5223880597014925
video_01_static_short,39,2,0.9305177111716622
video_01_static_short,40,3,0.9649122807017544
video_01_static_short,40,1,0.9764058198977585
video_01_static_short,40,5,0.5
video_01_static_short,40,2,0.9301369863013699
video_01_static_short,41,3,0.9498910675381264
video_01_static_short,41,1,0.9628616106333072
video_01_static_short,41,5,0.4533333333333333
video_01_static_short,41,2,0.9209809264305178
video_01_static_short,42,3,0.9515418502202643
video_01_static_short,42,1,0.9734653465346534
video_01_static_short,42,5,0.46835443037974683
video_01_static_short,42,2,0.9274965800273598
video_01_static_short,43,3,0.952808988764045
video_01_static_short,43,1,0.9582018927444795
video_01_static_short,43,5,0.5
video_01_static_short,43,2,0.9259259259259259
video_01_static_short,44,3,0.952808988764045
video_01_static_short,44,1,0.9748
video_01_static_short,44,5,0.5098039215686274
video_01_static_short,44,2,0.92
video_01_static_short,45,3,0.9258426966292135
video_01_static_short,45,1,0.9513556618819776
video_01_static_short,45,5,0.4868421052631579
video_01_static_short,45,2,0.9360222531293463
video_01_static_short,46,3,0.9561200923787528
video_01_static_short,46,1,0.9753634894991923
video_01_static_short,46,5,0.46987951807228917
video_01_static_short,46,2,0.9327731092436975
video_01_static_short,47,3,0.9552941176470588
video_01_static_short,47,1,0.9463276836158192
video_01_static_short,47,5,0.6060606060606061
video_01_static_short,47,2,0.9248956884561892
video_01_static_short,48,3,0.9569377990430622
video_01_static_short,48,1,0.9533386967015286
video_01_static_short,48,5,0.5057471264367817
video_01_static_short,48,2,0.9259776536312849
video_01_static_short,49,3,0.9399038461538461
video_01_static_short,49,1,0.966011466011466
video_01_static_short,49,5,0.4787234042553192
video_01_static_short,49,2,0.9290780141843972
video_01_static_short,50,3,0.9196217494089834
video_01_static_short,50,1,0.968609865470852
video_01_static_short,50,5,0.5340909090909091
video_01_static_short,50,2,0.9217638691322901
video_01_static_short,51,3,0.9134615384615384
video_01_static_short,51,1,0.951179820992677
video_01_static_short,51,5,0.5421686746987951
video_01_static_short,51,2,0.9282639885222381
video_01_static_short,52,3,0.9315403422982885
video_01_static_short,52,1,0.9597069597069597
video_01_static_short,52,5,0.48148148148148145
video_01_static_short,52,2,0.9250720461095101
video_01_static_short,53,3,0.9262899262899262
video_01_static_short,53,1,0.9680981595092024
video_01_static_short,53,5,0.5566037735849056
video_01_static_short,53,2,0.9124820659971306
video_01_static_short,54,3,0.9393939393939394
video_01_static_short,54,1,0.9709254709254709
video_01_static_short,54,5,0.5
video_01_static_short,54,2,0.9231884057971015
video_01_static_short,55,3,0.934010152284264
video_01_static_short,55,1,0.9738882088943288
video_01_static_short,55,5,0.43820224719101125
video_01_static_short,55,2,0.9266862170087976
video_01_static_short,56,3,0.9455958549222798
video_01_static_short,56,1,0.9735234215885947
video_01_static_short,56,5,0.46551724137931033
video_01_static_short,56,2,0.920704845814978
video_01_static_short,57,3,0.953125
video_01_static_short,57,1,0.9666531110207401
video_01_static_short,57,5,0.5
video_01_static_short,57,2,0.9213649851632048
video_01_static_short,58,3,0.9404145077720207
video_01_static_short,58,1,0.9727752945956928
video_01_static_short,58,5,0.48214285714285715
video_01_static_short,58,2,0.9192825112107623
video_01_static_short,59,3,0.9393139841688655
video_01_static_short,59,1,0.9715447154471545
video_01_static_short,59,5,0.5166666666666667
video_01_static_short,59,2,0.9142857142857143
video_01_static_short,60,3,0.946236559139785
video_01_static_short,60,1,0.9719512195121951
video_01_static_short,60,5,0.45112781954887216
video_01_static_short,60,2,0.9248466257668712
video_01_static_short,61,3,0.9402173913043478
video_01_static_short,61,1,0.9671399594320487
video_01_static_short,61,5,0.37583892617449666
video_01_static_short,61,2,0.9185867895545314
video_01_static_short,62,3,0.9475138121546961
video_01_static_short,62,1,0.9663831510733091
video_01_static_short,62,5,0.43609022556390975
video_01_static_short,62,2,0.9198767334360555
video_01_static_short,63,3,0.936986301369863
video_01_static_short,63,1,0.9524760383386581
video_01_static_short,63,5,0.48
video_01_static_short,63,2,0.9252336448598131
video_01_static_short,64,3,0.9303621169916435
video_01_static_short,64,1,0.956312625250501
video_01_static_short,64,5,0.43846153846153846
video_01_static_short,64,2,0.9245283018867925
video_01_static_short,65,3,0.9405099150141643
video_01_static_short,65,1,0.9663191659983962
video_01_static_short,65,5,0.48091603053435117
video_01_static_short,65,2,0.9167974882260597
video_01_static_short,66,3,0.9291784702549575
video_01_static_short,66,1,0.9682348210695617
video_01_static_short,66,5,0.3880597014925373
video_01_static_short,66,2,0.9310897435897436
video_01_static_short,67,3,0.936231884057971
video_01_static_short,67,1,0.9545094936708861
video_01_static_short,67,5,0.47368421052631576
video_01_static_short,67,2,0.9240710823909531
video_01_static_short,68,3,0.9302325581395349
video_01_static_short,68,1,0.9662564509726081
video_01_static_short,68,5,0.3858267716535433
video_01_static_short,68,2,0.9038461538461539
video_01_static_short,69,3,0.9382352941176471
video_01_static_short,69,1,0.9729407083167528
video_01_static_short,69,5,0.5076923076923077
video_01_static_short,69,2,0.9036918138041734
video_01_static_short,70,3,0.9347181008902077
video_01_static_short,70,1,0.9511145874071177
video_01_static_short,70,5,0.4
video_01_static_short,70,2,0.914332784184514
video_01_static_short,71,3,0.9397590361445783
video_01_static_short,71,1,0.9720362347380859
video_01_static_short,71,5,0.496
video_01_static_short,71,2,0.9229480737018425
video_02_static_medium,0,1,0.88268156424581
video_02_static_medium,0,4,0.7236268526591108
video_02_static_medium,0,2,0.9703891708967851
video_02_static_medium,1,1,0.8946117274167987
video_02_static_medium,1,4,0.708691499522445
video_02_static_medium,1,2,0.9683127572016461
video_02_static_medium,2,1,0.8954402515723271
video_02_static_medium,2,4,0.7142857142857143
video_02_static_medium,2,2,0.9646772228989038
video_02_static_medium,3,1,0.8881172839506173
video_02_static_medium,3,4,0.6956004756242569
video_02_static_medium,3,2,0.9614314115308151
video_02_static_medium,4,1,0.8891437308868502
video_02_static_medium,4,4,0.6967213114754098
video_02_static_medium,4,2,0.9687865782286383
video_02_static_medium,5,1,0.8963691376701967
video_02_static_medium,5,4,0.6815286624203821
video_02_static_medium,5,2,0.9695933105283162
video_02_static_medium,6,1,0.887240356083086
video_02_static_medium,6,4,0.7365269461077845
video_02_static_medium,6,2,0.9707207207207207
video_02_static_medium,7,1,0.8948148148148148
video_02_static_medium,7,4,0.7555066079295154
video_02_static_medium,7,2,0.9781872884543061
video_02_static_medium,8,1,0.8861313868613139
video_02_static_medium,8,4,0.7268292682926829
video_02_static_medium,8,2,0.9827453987730062
video_02_static_medium,9,1,0.8842030021443888
video_02_static_medium,9,4,0.696969696969697
video_02_static_medium,9,2,0.9848484848484849
